id,nombre,presentacion,unidad,categoria
c927,DICLOFENAC 75 MG AMP,DICLOCALM 75 mg a.x 25 x 3 ml,amp,D
c891,DICLOFENAC COMP,DICLOFENAC DENVER FARMA 75 mg comp.x 15,comp,D
c928,DIFENHIDRAMINA (10 MG AMP X 10 ML) (BENADRYL),DIFENHIDRAMINA DENVER FARMA 10 mg a.x 100 x 1 ml,amp,D
c695,DIGOXINA (INY X 1 ML),DIGOXINA BIOL iny.a.x 100 x 1 ml,un,D
c786,DIPIRONA,DIPIRONA DRAWER 1 g a.x 100 x 2 ml,un,D
c929,DOBUTAMINA 250 MG,DOBUTAMINA BIOQUIM 250 mg f.a.x 25 x 20 ml,un,D
c641,DOMPERIDONA GOTAS (EUCITON),MOPERIDONA gts.x 20 ml,un,D
c850,DOPAMINA 100 MG AMPOLLA,DOPAMINA NORTHIA 100 mg iny.a.x 25,amp,D
c788,DOPAMINA 200 MG,DOPAMINA NORTHIA 200 mg iny.a.x 25,un,D
c1685,DOXORUBICINA 50 MG FCO AMP (MED.ONCOLOGICA),DOXORUBICINA IMA 50 mg liof.f.a.x 1,amp,D
c2031,ENALAPRIL 10 G VO,,un,E
c332,ENALAPRILATO AMP,,amp,E
c930,ENOXAPARINA 40 MG,CLEXANE 40 mg jga.prell.x 10,un,E
c931,ERGONOVINA AMP,METRERGINA 0.2 mg a.x 100 x 1 ml,amp,E
c1979,ERITROMICINA UNGÜENTO,,un,E
c985,ERITROPROYETINA 2000 UI,EPOGEN 2000 UI f.a.x 1 x 1 ml,un,E
c1912,ERITROPROYETINA 4000 UI,,un,E
c10545,ESPIRONOLACTONA COMP,DRIMUX A 100 mg comp.x 30,comp,E
c719,ESTREPTOQUINASA 1500000 UI,STREPTOFACTOR 1500000 UI a.x 1,un,E
c333,ETILEFRINA,ETILEFRINA CLORHIDRATO GEMEPE  10 mg a.x 100 x 1 m,un,E
c1980,ETOPOSIDO 100 MG (MED.ONCOLOGICA),,un,E
c932,FENITOINA AMP,OPLIPHON 100 mg iny.a.x 25 x 2ml,amp,F
c975,FENOBARBITAL,PRUDEMA 100 mg/2ml iny.a. x 5,un,F
c1083,FENOBARBITAL COMP,FENROS 15 mg comp.x 30,comp,F
c789,FENTANILO,FENTANILO DENVER FARMA 0.25 mg iny.a.x100 x 5ml,un,F
c1683,FILGRASTIM 30 MG FCO AMP,NEUTROFIL 30 MU sol.iny.f.a.x 5,amp,F
c934,FLUCONAZOL COMP,PONARIS 150 mg comp.x 8,comp,F
c976,FLUCONAZOL SACHET,FLUCONAZOL 200 SOLUFLEX 200 mg IV iny.sol.x100ml,un,F
c1981,FLUDARABINA (MED.ONCOLOGICA),,un,F
c10639,FLUMAZENIL AMP,FLUMAGE 0.5 mg a.x 50 x 5 ml,amp,F
c10483,FLUTICASONA SPRAY,,un,F
c10476,FORTIFICADOR DE LECHE MATERNA (NUTRIPREM) SOBRES,NUTRIPREM sob.x 50,un,F
c654,FOTORRETIN GOTAS,FOTORRETIN colirio x 5 ml,un,F
c790,FUROSEMIDA,FUROSEMIDA DENVER FARMA 20 mg a.x 100 x 2 ml,un,F
c1153,FUROSEMIDA COMP,ERROLON comp.x 50,comp,F
c334,GAMMAGLOBULINA GAMMATET T500 (VACUNA ANTIT),GAMMATET T 500UI jga.prell.+toxoide,un,G
c10701,GANCICLOVIR 500 MG AMP,GANCICLOVIR RICHET IV 500 mg f.a.x 1,amp,G
c1772,"GENTAMICINA 0,1% CREMA X 20 GR",,pomo,G
c935,GENTAMICINA 400,GLEVOMICINA 400 mg iny.f.a.x 1 x10ml,un,G
c1925,GOTAS CICLOPENTOLATO,,un,G
c1926,GOTAS FLUORESCEINA,,un,G
c1927,GOTAS POENCAINA,,un,G
c936,HALOPERIDOL (5 MG AMP X 1 ML),HALOPERIDOL DENVER FARMA 5 mg a.x 100 x 1 ml,amp,H
c937,HEPARINA 5000,RIVEPARIN-HEPARINA RIVERO 5000UI f.a.x50x 5ml (EH),un,H
c1982,HIDRATO DE CLORAL,,un,H
c938,HIDROCORTISONA 500 MG AMP,HIDROCORTISONA DRAWER 100 mg iny.f.a.x 100,amp,H
c688,HIERRO ENDOVENOSO,VENOFER FERROLOGIC a.x 5 x 5 ml,un,H
c941,HIOSCINA COMPUESTA,HIOSCINA COMPUESTA DRAWER iny.a.x 100 x 5 ml,comp,H
c939,HIOSCINA SIMPLE,RUPE N 20 mg a.x 100 x 1 ml,un,H
c1170,I.M 75 (SUPOSITORIOS),IM 75 MONTPELLIER sup.x 10,un,I
c337,IBUPROFENO AMP (400 MG X 3 ML),IBUPROFENO KLONAL 400 mg a.x 100 x 3 ml,amp,I
c1742,IDARRUBICINA 10 MG FCO AMP (MED.ONCOLOGICA),IDARRUBICINA 10 DOSA 10 mg iny.f.a.x 1+solv.,amp,I
c1984,IFOSFAMIDA 1 GR. (MED.ONCOLOGICA),,un,I
c336,IMIPENEM,IMIPENEM CELTYC 500 mg IV f.a.x 50,un,I
c1983,"INMUNOGLOBULINA 0,5",,un,I
c1744,INMUNOGLOBULINA 5G X 100ML BIOFACTOR,IG VENA 5 G 5 g f.a.x 1 x 100 ml,un,I
c1719,INMUNOGLOBULINA G EV 10GR 200ML,PRIVIGEN 10 g f.a.x 1 x 100 ml,un,I
c1730,INSULINA ASPARTICA 100 U/ML - NOVORAPID,INSULINA NOVORAPID FLEXPEN 100 UI lapic.x 5 x 3 ml,un,I
c942,INSULINA HUMANA CORRIENTE (100 UI X 10 ML),INSULINA HUMULIN NPH 100 UI fco.x 10 ml,un,I
c943,INSULINA NPH,INSULINA HUMULIN NPH 100 UI fco.x 10 ml,un,I
c10629,IRUXOL UNGUENTO (30 GRAMOS),IRUXOL ung.x 30 g,pomo,I
c1179,ISOXSUPRINA AMP (10 MG X 2 ML),ISOXSUPRINA NORGREEN 10 mg a.x 1 x 2 ml,amp,I
c944,ISOXUPRINA COMP (20 MG),ISOXSUPRINA FABRA 20 mg comp.x 20,comp,I
c1469,ITOPRIDE 50 MG COMP,ITOPRID 50 mg comp.x 30,comp,I
c893,KETOROLAC (30 MG INY AMP 1 ML),KETOROLAC PHARMAVIAL 30 mg iny.a.x 100 x 1 ml,amp,K
cA894,LABETALOL AMP (5MG X 4ML),LABETALOL RICHET 5 mg/ml a.x 10 x 4 ml,amp,L
c895,LABETALOL COMP (200 MG),LABETALOL RICHET 200 mg comp.x 50,comp,L
c991,LACTULON (JARABE X 120 ML),LACTULON jbe.x 120 ml,frasco,L
